HospitalCode,OverallRating,Mortality,PatientExperience,Readmission,TimelinessOfCare,EffectivenessOfCare
30112,NULL,NULL,1,NULL,NULL,NULL
30113,NULL,NULL,NULL,NULL,NULL,NULL
30114,3,0,0,-1,0,0
30115,4,0,1,1,-1,0
30117,2,0,0,-1,0,0
30119,4,1,0,1,0,0
30121,2,0,-1,1,-1,0
30122,3,0,0,1,-1,0
30123,4,0,1,-1,1,0
30130,4,0,1,1,0,0
30131,NULL,NULL,1,NULL,NULL,NULL
30134,4,0,1,0,0,0
30136,NULL,NULL,NULL,NULL,0,0
30137,2,0,-1,0,0,0
30138,NULL,NULL,NULL,NULL,NULL,NULL
30139,NULL,NULL,NULL,NULL,NULL,NULL
31300,3,0,1,0,NULL,NULL
31301,NULL,NULL,NULL,NULL,0,NULL
31302,NULL,5,16,NULL,NULL,5
31304,NULL,NULL,1,NULL,1,0
31305,NULL,NULL,NULL,NULL,NULL,NULL
31307,NULL,NULL,NULL,NULL,NULL,NULL
31308,NULL,NULL,NULL,NULL,NULL,NULL
31309,NULL,NULL,NULL,NULL,NULL,NULL
31311,4,NULL,0,1,0,NULL
31312,NULL,NULL,NULL,0,0,NULL
31313,NULL,NULL,0,NULL,1,0
31314,3,0,-1,0,0,0
31315,NULL,NULL,NULL,0,0,NULL
31317,3,0,-1,-1,NULL,NULL
31318,NULL,NULL,NULL,NULL,NULL,0
33302,NULL,NULL,NULL,NULL,NULL,NULL
33303,19,19,19,19,19,19
34004,NULL,NULL,NULL,NULL,NULL,NULL
34013,NULL,NULL,NULL,NULL,NULL,NULL
34020,NULL,NULL,NULL,NULL,NULL,NULL
34021,NULL,NULL,NULL,NULL,NULL,NULL
34022,NULL,NULL,NULL,NULL,NULL,NULL
34023,NULL,NULL,NULL,NULL,NULL,NULL
34024,NULL,NULL,NULL,NULL,NULL,NULL
34025,NULL,NULL,NULL,NULL,NULL,NULL
34026,NULL,NULL,NULL,NULL,NULL,NULL
34027,NULL,NULL,NULL,NULL,NULL,NULL
34028,NULL,NULL,NULL,NULL,NULL,NULL
34029,NULL,NULL,NULL,NULL,NULL,NULL
34030,NULL,NULL,NULL,NULL,NULL,NULL
34031,NULL,NULL,NULL,NULL,NULL,NULL
34032,NULL,NULL,NULL,NULL,NULL,NULL
34033,NULL,NULL,NULL,NULL,NULL,NULL
40001,3,0,0,1,1,0
40002,2,0,0,-1,1,0
40004,2,-1,0,1,0,0
40007,1,0,-1,-1,-1,0
40010,5,0,0,1,0,0
40011,3,0,0,-1,1,-1
40014,2,0,0,-1,0,0
40015,3,0,NULL,0,1,0
40016,1,0,0,-1,-1,0
40017,2,0,-1,-1,0,0
40018,3,NULL,0,0,1,0
40019,3,0,0,-1,0,0
40020,1,-1,0,-1,0,0
40022,2,-1,-1,1,0,0
40026,3,0,-1,-1,1,0
40027,2,-1,1,-1,1,0
40029,1,-1,1,-1,1,0
40036,3,-1,0,1,0,-1
40039,2,0,-1,-1,1,0
40041,3,0,-1,1,1,0
40047,2,0,0,-1,1,0
40050,4,0,0,1,1,0
40051,3,0,0,0,0,-1
40055,1,-1,-1,0,0,0
40062,4,-1,1,1,0,-1
40067,2,0,0,-1,0,0
40069,2,0,-1,-1,1,0
40071,1,-1,-1,-1,0,0
40072,5,0,1,0,1,0
40074,2,0,NULL,-1,0,0
40076,4,0,0,0,1,0
40078,1,0,-1,-1,-1,0
40084,2,-1,-1,-1,-1,-1
40085,2,0,0,-1,1,0
40088,3,0,-1,1,0,0
40114,2,-1,-1,-1,0,0
40118,2,0,1,-1,1,-1
40119,4,0,0,1,1,0
40132,NULL,NULL,NULL,NULL,NULL,NULL
40134,5,0,1,-1,0,0
40137,3,0,0,1,0,0
40147,NULL,NULL,1,NULL,NULL,NULL
40152,NULL,NULL,1,NULL,NULL,NULL
40153,3,0,NULL,-1,1,0
40154,4,0,1,1,1,0
40156,NULL,NULL,NULL,NULL,NULL,NULL
41300,NULL,NULL,NULL,NULL,NULL,0
41302,2,NULL,NULL,-1,1,NULL
41303,3,0,NULL,0,NULL,0
41304,NULL,NULL,NULL,0,NULL,NULL
41305,NULL,NULL,NULL,NULL,NULL,0
41306,3,0,NULL,0,1,NULL
41307,5,0,1,1,1,NULL
41308,NULL,NULL,NULL,NULL,0,NULL
41309,3,0,NULL,-1,1,NULL
41310,4,0,1,1,0,0
41311,4,0,NULL,1,1,NULL
41312,4,0,1,0,1,0
41313,3,0,NULL,-1,1,NULL
41314,3,0,NULL,0,1,NULL
41316,4,0,NULL,0,1,NULL
41317,NULL,NULL,NULL,NULL,1,NULL
41318,NULL,NULL,NULL,NULL,NULL,0
41320,NULL,NULL,NULL,NULL,1,NULL
41321,4,0,1,0,1,0
41322,4,0,1,0,1,NULL
41323,3,0,0,0,1,NULL
41324,3,0,NULL,0,1,0
41326,2,0,NULL,-1,1,NULL
41327,4,0,NULL,1,0,0
41328,3,0,NULL,0,1,NULL
41329,3,NULL,NULL,0,NULL,0
41330,2,0,NULL,-1,1,NULL
41331,NULL,NULL,NULL,0,0,NULL
43300,NULL,NULL,NULL,NULL,NULL,NULL
43301,NULL,NULL,NULL,NULL,NULL,NULL
44004,NULL,NULL,NULL,NULL,NULL,NULL
44005,NULL,NULL,NULL,NULL,NULL,NULL
44006,NULL,NULL,NULL,NULL,NULL,NULL
44007,NULL,NULL,NULL,NULL,NULL,NULL
44011,NULL,NULL,NULL,NULL,NULL,NULL
44017,NULL,NULL,NULL,NULL,NULL,NULL
44019,NULL,NULL,NULL,NULL,NULL,NULL
44020,NULL,NULL,NULL,NULL,NULL,NULL
44021,NULL,NULL,NULL,NULL,NULL,NULL
44022,NULL,NULL,NULL,NULL,NULL,NULL
50002,2,0,-1,-1,0,0
50006,2,0,-1,1,-1,-1
50007,5,1,1,1,0,0
50008,3,0,0,1,0,0
50009,4,0,-1,1,0,0
50013,3,0,0,1,0,0
50014,4,0,0,1,0,0
50017,3,0,1,1,-1,0
50022,2,0,-1,-1,-1,0
50024,3,0,-1,1,-1,0
50025,4,1,1,1,-1,0
50026,2,0,-1,-1,-1,0
50028,4,0,0,1,0,0
50030,2,1,-1,-1,-1,-1
50036,2,-1,-1,-1,-1,0
50038,2,0,-1,-1,-1,0
50039,3,0,1,-1,0,0
50040,2,0,0,-1,-1,0
50042,3,-1,0,0,0,0
50043,5,1,-1,1,-1,0
50045,2,0,-1,-1,-1,0
50047,3,1,-1,1,-1,0
50054,2,0,-1,-1,-1,0
50055,3,0,-1,1,-1,0
50056,1,-1,-1,-1,-1,0
50057,2,0,-1,1,-1,0
50058,4,1,-1,1,-1,0
50060,1,-1,-1,-1,-1,0
50063,1,1,-1,-1,0,0
50067,3,0,0,1,0,0
50069,3,0,1,1,-1,-1
50070,NULL,NULL,0,NULL,NULL,NULL
50071,4,NULL,1,0,NULL,0
